customer_id,product_category,coupon_type,region,order_date,order_amount,discount_amount,final_amount,year,month,units_sold,customer_income,coupon_used,discount_percentage,savings_per_unit,sales_category,month_name
4174,Groceries,Flat,Central,2023-07-27,14625,4536,10089,2023,7,5,198373,1,31.02,907.2,Medium,July
4507,Clothing,Flat,Central,2023-02-07,15294,1938,13356,2023,2,1,128221,1,12.67,1938.0,Medium,February
1860,Home & Kitchen,Percentage,East,2023-11-14,12197,831,11366,2023,11,7,85345,1,6.81,118.71,Medium,November
2294,Toys,Free Shipping,East,2023-03-19,13778,2117,11661,2023,3,5,193858,0,15.37,423.4,Medium,March
2130,Groceries,Buy1Get1,West,2022-09-29,11775,2029,9746,2022,9,3,163569,1,17.23,676.33,Medium,September
2095,Clothing,Buy1Get1,Central,2024-04-16,18428,4298,14130,2024,4,7,52355,1,23.32,614.0,Medium,April
4772,Books,Flat,Central,2024-03-22,4124,4362,0,2024,3,4,68917,1,105.77,1090.5,,March
4092,Groceries,Buy1Get1,West,2022-04-23,15901,669,15232,2022,4,2,189222,1,4.21,334.5,High,April
2638,Toys,Percentage,Central,2023-12-07,13370,2617,10753,2023,12,10,108028,1,19.57,261.7,Medium,December
3169,Electronics,Buy1Get1,North,2023-01-29,17118,580,16538,2023,1,3,63423,1,3.39,193.33,High,January
1466,Beauty,Flat,East,2022-01-19,7777,789,6988,2022,1,5,199530,1,10.15,157.8,Medium,January
2238,Clothing,Percentage,East,2024-05-01,5930,4671,1259,2024,5,2,187069,1,78.77,2335.5,Low,May
1330,Home & Kitchen,Free Shipping,East,2023-08-28,8676,523,8153,2023,8,3,194772,1,6.03,174.33,Medium,August
2482,Electronics,Percentage,South,2023-12-30,8187,647,7540,2023,12,10,62882,1,7.9,64.7,Medium,December
3135,Clothing,Flat,North,2023-04-10,11061,3404,7657,2023,4,4,47851,0,30.77,851.0,Medium,April
4444,Electronics,Flat,North,2023-11-22,8895,3882,5013,2023,11,10,21152,1,43.64,388.2,Medium,November
4171,Home & Kitchen,Buy1Get1,West,2024-06-27,4341,3379,962,2024,6,1,171159,1,77.84,3379.0,Low,June
3919,Clothing,Buy1Get1,South,2022-07-10,8136,4276,3860,2022,7,7,142449,1,52.56,610.86,Low,July
4735,Toys,Free Shipping,Central,2023-05-08,18967,2194,16773,2023,5,2,133218,1,11.57,1097.0,High,May
1130,Toys,Free Shipping,North,2024-06-30,19031,3547,15484,2024,6,3,123055,1,18.64,1182.33,High,June
2685,Home & Kitchen,Flat,South,2022-06-12,5004,2557,2447,2022,6,3,148562,1,51.1,852.33,Low,June
4380,Groceries,Flat,South,2023-09-04,14515,2306,12209,2023,9,1,74622,1,15.89,2306.0,Medium,September
1769,Home & Kitchen,Flat,North,2023-11-30,19853,2243,17610,2023,11,7,32163,1,11.3,320.43,High,November
3391,Groceries,Free Shipping,West,2022-10-22,8768,2277,6491,2022,10,7,49178,1,25.97,325.29,Medium,October
2515,Clothing,Flat,South,2023-08-02,9577,3600,5977,2023,8,9,100014,1,37.59,400.0,Medium,August
4485,Groceries,Free Shipping,East,2022-03-14,7262,2015,5247,2022,3,5,30268,1,27.75,403.0,Medium,March
3853,Clothing,Flat,South,2024-01-14,14579,653,13926,2024,1,10,55028,1,4.48,65.3,Medium,January
3433,Clothing,Percentage,Central,2023-12-02,3047,520,2527,2023,12,10,181150,1,17.07,52.0,Low,December
2215,Books,Percentage,North,2023-07-16,932,1583,0,2023,7,9,109443,1,169.85,175.89,,July
1955,Beauty,Flat,Central,2022-11-05,7513,4095,3418,2022,11,1,190522,0,54.51,4095.0,Low,November
3324,Clothing,Percentage,West,2022-10-29,19283,1194,18089,2022,10,2,124886,1,6.19,597.0,High,October
2184,Groceries,Free Shipping,East,2022-11-04,13009,1618,11391,2022,11,8,173523,0,12.44,202.25,Medium,November
1459,Beauty,Buy1Get1,North,2022-05-04,2358,2178,180,2022,5,1,60591,1,92.37,2178.0,Low,May
4385,Beauty,Percentage,South,2023-10-31,11686,3733,7953,2023,10,8,112711,0,31.94,466.62,Medium,October
1021,Clothing,Buy1Get1,East,2022-09-18,4819,2004,2815,2022,9,1,27371,1,41.59,2004.0,Low,September
3300,Home & Kitchen,Percentage,South,2022-07-14,18777,539,18238,2022,7,10,143373,0,2.87,53.9,High,July
1747,Home & Kitchen,Free Shipping,West,2024-04-21,10703,1937,8766,2024,4,3,112915,1,18.1,645.67,Medium,April
3904,Toys,Percentage,North,2022-12-17,19590,1348,18242,2022,12,8,88439,1,6.88,168.5,High,December
4632,Beauty,Percentage,West,2024-04-22,1410,952,458,2024,4,4,156292,1,67.52,238.0,Low,April
1474,Clothing,Flat,West,2024-02-07,11806,1561,10245,2024,2,10,21358,0,13.22,156.1,Medium,February
2082,Books,Buy1Get1,West,2023-05-04,18570,427,18143,2023,5,2,79773,1,2.3,213.5,High,May
3558,Home & Kitchen,Buy1Get1,West,2022-07-19,3370,1551,1819,2022,7,7,186617,1,46.02,221.57,Low,July
4753,Books,Free Shipping,South,2024-06-02,18332,643,17689,2024,6,5,160691,1,3.51,128.6,High,June
3047,Clothing,Free Shipping,Central,2023-05-23,15758,2786,12972,2023,5,8,185088,1,17.68,348.25,Medium,May
4547,Clothing,Buy1Get1,South,2024-06-16,17341,4667,12674,2024,6,2,132931,1,26.91,2333.5,Medium,June
3747,Beauty,Flat,East,2023-08-03,1118,2847,0,2023,8,1,27545,1,254.65,2847.0,,August
1975,Books,Flat,West,2023-03-22,9097,4435,4662,2023,3,9,55136,1,48.75,492.78,Low,March
2806,Toys,Buy1Get1,East,2022-03-21,11822,686,11136,2022,3,3,37629,1,5.8,228.67,Medium,March
1189,Beauty,Percentage,South,2024-01-15,3061,647,2414,2024,1,10,151045,1,21.14,64.7,Low,January
4005,Electronics,Buy1Get1,West,2023-11-29,2007,3128,0,2023,11,9,58431,1,155.85,347.56,,November
3734,Books,Percentage,South,2023-09-09,2849,3296,0,2023,9,6,151309,1,115.69,549.33,,September
4005,Home & Kitchen,Buy1Get1,West,2023-04-14,4623,1804,2819,2023,4,2,148910,1,39.02,902.0,Low,April
1562,Home & Kitchen,Percentage,South,2024-04-16,17879,1153,16726,2024,4,6,154014,1,6.45,192.17,High,April
2899,Home & Kitchen,Flat,North,2023-03-18,10012,1529,8483,2023,3,8,110853,1,15.27,191.12,Medium,March
4638,Groceries,Buy1Get1,Central,2023-10-16,2642,3409,0,2023,10,5,151697,1,129.03,681.8,,October
2267,Clothing,Free Shipping,Central,2024-06-29,7839,1878,5961,2024,6,5,71259,1,23.96,375.6,Medium,June
3879,Beauty,Percentage,West,2024-06-20,2795,1635,1160,2024,6,1,106210,1,58.5,1635.0,Low,June
2528,Home & Kitchen,Flat,North,2022-09-29,13406,3873,9533,2022,9,7,68579,1,28.89,553.29,Medium,September
4202,Electronics,Free Shipping,East,2022-12-09,12564,4725,7839,2022,12,2,34258,1,37.61,2362.5,Medium,December
4556,Home & Kitchen,Flat,North,2022-05-04,17656,4594,13062,2022,5,4,29391,1,26.02,1148.5,Medium,May
4890,Toys,Percentage,West,2022-08-11,4275,4703,0,2022,8,4,85765,1,110.01,1175.75,,August
1646,Clothing,Buy1Get1,North,2023-05-05,9841,3885,5956,2023,5,9,40101,1,39.48,431.67,Medium,May
